animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
abelha,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
aguia-cinzenta,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
anchovy,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4
anta,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
antlion,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
aphid,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
aracari-banana,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
arara-azul,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
arara-caninde,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
ariranha,1,0,0,1,0,1,1,1,1,1,0,1,4,1,0,0,1
baiacu,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,4
barracuda,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
beetle,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
bicho-pau,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7
boa,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,3
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
boto-cor-de-rosa,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bugio,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
cachorro-vinagre,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
caracol-da-mata-atlantica,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
caranguejeira,1,0,1,0,0,0,1,0,0,1,1,0,8,0,0,0,7
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
cascudinho-de-caverna,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
chameleon,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
chaua,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,2
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
chimpanze,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
cicada,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
cobra-cipo,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
cricket,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
dart frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
dragonfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
ema,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,2
firebelly,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
flounder,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
gato-maracaja,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
gaviao-pombo,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
gharial,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
guara,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
halibut,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
harpia,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
hornet,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
jabuti,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,1,3
jacare-coroa,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,3
jacurutu,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
jacutinga,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
jaguatirica,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
jandaia-amarela,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
jararaca-ilhoa,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
jellyfish,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,7
jiboia,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
joaninha,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
lambari,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
lobo-guara,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
macaco-aranha,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
macaco-barrigudo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
mackerel,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
macuco,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,2
mantis,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,6
mariposa,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
marlin,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
matrinxa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
mico-leao-dourado,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
mono-carvoeiro,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
murucututu,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
mutum,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
onca-pintada,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
orangotango,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
palmetto,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
papagaio-de-cara-roxa,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
pato-de-crista,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
pavo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
peixe-boi,1,0,0,1,0,1,0,1,1,1,0,1,2,1,0,0,1
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
perereca-de-alcatrazes,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,5
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
pirarucu,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4
pirilampo,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
python,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
queixada,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
ra-flecha-azul,0,0,1,0,0,1,0,0,1,1,1,0,4,0,0,0,5
raia-chita,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
ra-pimenta,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,5
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
salamander,0,0,1,0,0,1,0,1,1,1,0,0,4,1,1,0,5
sapo-barriga-de-fogo,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,5
sapo-cururu,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
sapo-de-chifre,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,1,5
sauva-limao,1,0,1,0,0,0,1,0,0,1,1,0,6,0,0,0,7
scallop,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
silkworm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
siren,0,0,1,0,0,1,0,1,1,1,0,0,2,1,0,0,5
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
skink,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,3
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
spider,0,0,1,0,0,0,1,1,0,1,1,0,8,0,0,0,7
squid,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
sucuri,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,3
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
tamandua-bandeira,1,0,0,1,0,0,0,0,1,1,0,0,4,1,0,0,1
tambaqui,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tracaja,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,3
tree frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
trout,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
tubarao-raposa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
tucano-de-bico-preto,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,3
urso-de-oculos,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1
urubu-rei,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
urutu-cruzeiro,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vespa,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wart toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
